Id,Company,Model,Category
251,Subaru,Grand Leone,2
252,Subaru,Grand Leone bad,2
253,Subaru,B3 front,1
254,Subaru,B3  back Elbow,1
255,Suzuki,Baleno manifold,1
256,Suzuki,Baleno,1
257,Suzuki,bad,3
258,Suzuki,65J-C02,3
259,Suzuki,CO6,3
260,Suzuki,"no cover, single wing",1
261,Suzuki,"no cover, double wing 85L-CO2",1
262,Suzuki,Square,1
263,Suzuki,Zanke,3
264,Toyota,Corolla back,3
265,Toyota,Corolla front,1
266,Toyota,AD4,2
267,Toyota,(),1
268,Toyota,Corolla w/ cover,1
269,Toyota,manifold,1
270,Toyota,X18,1
271,Toyota,flat big (),2
272,Toyota,Camry,1
273,Toyota,CE8,3
274,Toyota,w/o cover,1
275,Toyota,w/ cover,1
276,Toyota,Yaris,1
277,Toyota,Pair,1
278,Toyota,manifold long,2
279,Toyota,HA2,2
280,Toyota,AB3,3
281,Toyota,Avensis,1
282,Unknown,DK 8 holes,3
283,Unknown,Chupchik,2
284,Unknown,Filter small,2
285,Unknown,HAA9,3
286,Volvo,Small + steel,1
287,Volvo,Fattest,2
288,Volvo,Steel big,2
289,Volvo,Steel long single block,1
290,Volvo,Large,2
291,Volvo,Fat,2
292,Volvo,SF,1
293,VW,Golf Benzene  (SoAfr),1
294,VW,Manifold pre,3
295,VW,Polo,3
296,VW,Filter,2
297,VW,Filter Carbide,2
298,VW,Shuttle,2
299,VW,L,3
300,VW,New Golf,1
301,VW,Narrow  Golf,1
302,VW,Golf benzene Germany,2
303,VW,L pre,3
304,VW,small pre manifold,3
305,VW,GTI pre,3
306,VW,Filter Golf 1600 Turbo,1
307,VW,pre,3
308,VW,cigar w/curved ends,1
309,,,0
310,Mercedes,KT6043,2
311,GM,Chevrolet long flat good,4
312,GM,Chevrolet long flat bad,4
313,Volvo,fat + steel,1
314,Mazda,6 bad,2
315,Isuzu,Dmax pair,1
316,Honda,Accord,1
317,Fiat,medium 3 stripes,1
318,KIA,small cast half cover,1
319,Ford,big flat w/ upright,5
320,Peugeot,big flat w/ sensor 172,1
321,Suzuki,Manifold,1
322,Audi,Filter,1
323,Mazda,MPV Subaru,1
324,Nissan,Manifold,3
325,Citroen,Partner filter,2
326,Fiat,Big wide 3 stripes,1
327,Catco,AM,7
328,Skoda,Shuttle w/ bars,2
329,KIA,half,3
330,Toyota,front w/ half cover,1
331,Subaru,Front w/ sensor,1
332,KIA,full,3
333,Mitsubishi,115,3
334,Peugeot,380,2
335,KIA,cast  3 wholes 04DAO,1
336,Sevel,Round medium,2
337,Subaru,B3 back 250,2
338,VW,Pol BC,3
339,Subaru,Back 200,1
340,BMW,Flat big bend,2
341,BMW,Flat medium bend,2
342,Nissan,Manifold big 130,1
343,Toyota,Manifold shiny,1
344,Mitsubishi,Manifold 2015,1
345,GM,Med silver cover,4
346,Citroen,Round medium w/  half cover,2
347,Mercedes,Fat Cigar S,2
348,Ford,Transit small,4
349,Mitsubishi,Manifold Pair,2
350,Ford,Filter h/h,5
351,Peugeot,Round w/ grate,2
352,Toyota,Camry w/ bar,1
353,GM,Big Round Bad,5
354,GM,Flat Oval w/ blip,4
355,Hyundai,Manifold 728,1
356,Peugeot,Silver mini,3
357,VW,long neck,1
358,Suzuki,manifold long,1
359,Suzuki,manifold med.,1
360,Fiat,flat med. Many holes,1
361,Nissan,back mini 271,3
362,VW,small elbow,3
363,Fiat,Lancia long curved neck,1
364,Fiat,771,1
365,Toyota,AD5,2
366,KIA,Flat 250,2
367,Mercedes,KT1247,2
368,Mercedes,KT1247-1,2
369,Mercedes,Round 138,2
370,Seat,2000,2
371,Audi,Pre,3
372,Renault,Small S,3
373,Honda,Accord Big,2
374,Honda,Pre 150,3
375,Honda,Mini,3
376,Mercedes,KT6043 good,2
377,Opel,Tri Big AC GM28,2
378,Ford,Truck,5
379,Subaru,Jeep,5
380,Subaru,,0
381,GM,Partner 6648,5
382,GM,Partner 0431,5
383,Renault,Mini manifold 70,3
384,Skoda,Octavia ACB,2
385,VW,Filter + ceramic,2
386,Skoda,Fabia 045 131 701 N,2
387,Renault,Round Megane C216,1
388,Renault,Round Megane C170,2
389,Mercedes,Flat long wide,2
390,Opel,55570431,2
391,Suzuki,CO1,1
392,Suzuki,CO2,1
393,Suzuki,CO3,1
394,Suzuki,CO4,1
395,Nissan,manifold 664,3
396,Mitsubishi,AAD,1
397,Suzuki,Pre big,3
